title,lowestAsk,lowestAskSize,numberOfAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,salesLast72Hours,changeValue,changePercentage,totalDollars,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,missingData
Nike React Element 87 Undercover Light Beige Chalk,217,6.5,97,9,None,275,12,91,750,195,288,332,0.06994,1013,0.722,296,310,9,50,0.192308,299350,8,83,31,False
adidas Human Race NMD Pharrell Sun Glow,230,7.5,117,9,None,251,9,85,570,201,273,307,0.058157,980,0.208,359,290,9,25,0.09434,351638,7,58,10,False
Jordan 12 Retro Deep Royal Blue,235,12,70,9,None,240,14,97,415,120,278,342,0.103356,969,0.632,226,310,9,64,0.260163,219163,1,62,56,False
Jordan 1 Retro High Pine Green (GS),236,6.5Y,106,9,None,319,5Y,94,400,202,286,354,0.106533,2097,1.667,268,320,9,89,0.385281,561381,6,84,21,False
Jordan 1 Retro High Game Royal (GS),246,7Y,91,9,None,322,5Y,50,425,95,200,278,0.161511,4765,0.992,175,239,9,-56,-0.189831,831636,28,100,21,False
Jordan 12 Retro The Master,275,13,115,9,None,300,11.5,101,521,220,282,318,0.059393,997,0.579,287,300,9,53,0.214575,285899,13,17,8,False
Jordan 4 Retro Levi's Black (Blank Tag),278,12,57,9,None,325,9,100,599,216,252,288,0.064832,938,0.2,294,270,9,-60,-0.181818,276200,52,9,82,False
Jordan 18 Retro White Sport Royal,284,8,66,9,None,260,9,73,449,197,225,325,0.181693,674,0.222,296,275,9,2,0.007326,199648,55,48,61,False
Air Force 1 Low CLOT 1WORLD (2018),286,16,44,9,None,854,8,235,1200,150,654,1146,0.272879,1710,3.5,375,900,9,645,2.529412,641113,38,37,54,False
Jordan 11 Retro Space Jam (2009),319,11,83,9,None,337,9,60,605,240,318,362,0.064544,281,0.943,337,340,9,-5,-0.014493,94792,89,99,53,False
adidas Human Race NMD Pharrell Blank Canvas,370,8,101,9,None,380,9.5,76,875,220,355,423,0.087198,2867,0.556,439,389,9,39,0.111429,1258572,11,95,96,False
Air Foamposite One Big Bang,474,13,68,9,None,766,7.5,159,995,310,663,855,0.126526,3207,2.3,507,759,9,36,0.049793,1626666,22,77,81,False
Air Max 90 Off-White Desert Ore,715,11.5,17,9,None,700,6.5,111,800,550,578,702,0.097248,11,3,650,640,9,-35,-0.051852,7154,60,26,94,False
Nike Zoom Fly Tokyo,60,10,34,8,None,60,7.5,41,350,42,55,67,0.09745,536,-0.595,75,61,8,-8,-0.120288,40405,51,97,96,False
Vans Old Skool Retro Block,69,8.5,31,8,None,66,9.5,33,150,35,54,68,0.117709,599,0.017,83,61,8,-18,-0.227848,49534,98,47,68,False
Jordan Future Premium Black Infrared 23 (2018),74,11,44,8,None,66,10,25,249,60,78,106,0.151027,130,-0.503,100,92,8,27,0.415385,13001,66,42,54,False
adidas NMD R1 STLT Cloud White,74,10.5,61,8,None,100,11,29,170,40,88,102,0.06855,497,-0.441,90,95,8,5,0.055556,44627,16,26,92,False
Jordan Future Triple Black,77,9.5,33,8,None,120,7,33,130,46,43,77,0.277343,224,-0.6,73,60,8,0,0,16398,19,46,61,False
adidas NMD CS2 Triple Black Shock Pink,79,13,55,8,None,100,14,43,145,56,68,92,0.151209,326,-0.579,92,80,8,0,0,29934,50,48,83,False
adidas ZX500 RM Alphatype,79,8.5,25,8,None,75,9.5,14,121,55,63,87,0.161918,67,-0.464,91,75,8,-12,-0.137931,6101,67,2,34,False
Vans Old Skool Disney 80s Mickey,80,12,29,8,None,96,6.5,31,200,35,105,135,0.12479,219,0.714,95,120,8,0,0,20736,76,92,0,False
Nike Dunk SB Low Dorothy,80,6,15,8,None,150,10.5,35,165,56,127,173,0.155021,44,0.5,95,150,8,-15,-0.090909,4199,79,60,10,False
Air Max 93 Menthol (2018),83,9.5,35,8,None,85,12,38,240,40,64,96,0.194372,503,-0.385,116,80,8,0,0,58550,77,65,99,False
Jordan 1 Mid Pro Purple Desert Sand (GS),90,8Y,39,8,None,171,4.5Y,85,200,67,84,156,0.298731,718,0.333,131,120,8,-5,-0.04,94256,4,25,22,False
Nike M2K Tekno White Black Orange,90,10,52,8,None,200,4.5,30,270,74,62,138,0.380103,429,0,131,100,8,-5,-0.047619,56324,91,82,92,False
Converse Chuck Taylor All-Star 70s Hi Golf Le Fleur Burlap,95,5,28,8,None,112,10.5,25,200,61,107,131,0.103354,111,0.082,111,119,8,0,0,12372,80,97,89,False
Jordan 1 Retro High Guava Ice,96,11,67,8,None,90,11,50,250,60,90,108,0.090389,954,-0.381,113,99,8,6,0.064516,107679,66,87,94,False
Air Force 1 Foamposite Cup Light Carbon,98,9,35,8,None,90,9,25,190,35,76,120,0.228918,722,-0.51,95,98,8,-22,-0.183333,68538,68,40,42,False
Air Force 1 High Riccardo Tisci All-Star 2018 (Pink),98,10.5,53,8,None,100,12,50,350,57,84,126,0.204369,152,-0.523,167,105,8,0,-0.006417,25397,6,23,41,False
Nike SB Dunk Mid White Widow,100,5.5,76,8,None,150,14,76,295,65,101,127,0.117002,1170,0.14,137,114,8,-11,-0.088,160378,53,74,92,False
Air VaporMax 95 Neo Turquoise,100,11,57,8,None,105,9,37,179,90,112,128,0.064045,120,-0.368,121,120,8,15,0.138839,14461,38,70,53,False
Air Max 90 Varsity Pack University Red,100,11.5,16,8,None,88,10,26,151,63,67,113,0.257461,92,-0.357,96,90,8,10,0.125,8835,77,97,60,False
adidas Yung-1 Collegiate Navy,105,11.5,43,8,None,160,6,44,350,72,115,175,0.208118,1228,0.115,131,145,8,53,0.560889,161419,92,46,93,False
Air Force 1 Low Utility Carhartt WIP Camo,105,11,78,8,None,165,4.5,33,319,89,104,108,0.018185,186,-0.358,142,106,8,0,0,26472,4,32,96,False
Nike SB Zoom Blazer Low Stussy,105,11.5,41,8,None,125,10.5,50,208,90,140,170,0.0965,168,0.824,120,155,8,40,0.347826,20184,22,80,14,False
Air Max 95 OG Neutral Olive Total Orange,106,9,54,8,None,165,14,65,240,75,89,121,0.14886,561,-0.344,128,105,8,-17,-0.139344,71714,14,77,12,False
Kyrie 5 Multi-Color,109,11,55,8,None,103,8.5,39,249,85,102,126,0.104169,170,-0.123,116,114,8,24,0.266667,19740,58,95,0,False
Air Tailwind 79 Vast Grey Light Photo Blue,110,10,62,8,None,114,8.5,33,300,75,112,128,0.06387,549,0.2,127,120,8,-8,-0.0625,69922,12,46,66,False
Jordan 11 Retro Neutral Olive (W),115,8.5W,82,8,None,121,9.5W,43,300,99,117,151,0.129526,382,-0.391,157,134,8,24,0.218182,60102,5,72,68,False
Air More Uptempo Cool Grey Midnight Navy,115,10,43,8,None,120,7,56,200,75,127,153,0.094311,429,-0.125,119,140,8,15,0.12,50891,5,54,60,False
adidas Ultra Boost 2.0 Antique Brass,119,8.5,18,8,None,156,13,46,250,105,115,135,0.082429,114,-0.306,136,125,8,10,0.086957,15542,65,70,86,False
Air Force 1 Low Just Do It Pack Total Orange,120,10.5,30,8,None,137,9,46,300,66,98,162,0.245132,1008,0,143,130,8,-47,-0.267714,144503,36,56,34,False
Air Force 1 Low Realtree White,125,12,30,8,None,120,10,14,150,100,118,132,0.05912,18,0.25,128,125,8,5,0.041667,2296,71,23,42,False
Jordan 13 Retro OG Chicago (2017),129,18,135,8,None,185,11,84,318,71,167,203,0.099263,1414,-0.026,184,185,8,-30,-0.139535,259712,72,1,46,False
adidas Ultra Boost 3.0 Triple White,130,14,54,8,None,165,10,42,300,70,124,188,0.205174,1184,-0.133,161,156,8,32,0.25268,191024,33,96,72,False
Air VaporMax 2 Safari,135,9,30,8,None,146,7,52,224,100,161,199,0.104907,71,-0.053,158,180,8,55,0.44,11200,30,90,37,False
Air Max 270 Triple Black,138,11.5,67,8,None,136,7.5,45,275,97,113,147,0.128753,815,-0.133,136,130,8,-5,-0.037037,111197,86,47,24,False
Air Max 270 Dusty Cactus,138,8,55,8,None,180,12,33,265,100,98,162,0.243704,1456,-0.133,172,130,8,-25,-0.16129,250661,78,68,81,False
adidas Ultra Boost 4.0 Triple White (W),139,9.5W,48,8,None,136,6W,16,270,87,151,189,0.114513,462,-0.056,144,170,8,21,0.14094,66461,46,77,43,False
Jordan 7 Retro Pure Platinum,144,10.5,40,8,None,160,8,74,220,80,133,167,0.110532,677,-0.211,127,150,8,39,0.351351,85891,95,25,98,False
Air VaporMax Plus Eggplant,145,9,43,8,None,170,11.5,31,205,120,120,170,0.17546,14,-0.237,172,145,8,-5,-0.033333,2409,100,57,30,False
Air Max 270 Bowfin Black Desert,145,11,44,8,None,270,6,51,495,119,94,186,0.328444,601,-0.125,182,140,8,-14,-0.094159,109123,21,79,48,False
Kobe 1 Protro White Black Red,145,11,28,8,None,130,11.5,64,275,60,118,158,0.144966,371,-0.211,138,138,8,18,0.15,51014,12,64,29,False
Nike Zoom Pegasus 35 Turbo Wolf Grey Hot Punch,150,10,26,8,None,155,14,43,300,100,123,147,0.090208,555,-0.25,173,135,8,0,0,96288,91,46,44,False
Jordan 6 Retro All Star 2017 "Chameleon",150,13,57,8,None,165,9.5,70,322,90,147,183,0.107137,981,-0.267,146,165,8,-10,-0.057143,142739,51,17,39,False
Air VaporMax 2.0 Dusty Cactus Hyper Jade,150,11,25,8,None,150,9.5,35,240,50,146,174,0.088503,274,-0.158,157,160,8,35,0.28,43002,64,11,8,False
Air Foamposite One Rust Pink,154,12,66,8,None,163,9.5,73,307,100,140,180,0.126436,1000,-0.304,174,160,8,-4,-0.02439,173527,44,21,94,False
Jordan 13 Retro Alternate History of Flight,160,14,53,8,None,195,8.5,75,267,65,141,179,0.120855,805,-0.158,152,160,8,-15,-0.085714,122610,66,98,4,False
Air Max 95 ERDL Party Black,165,4,46,8,None,180,12,56,475,90,164,200,0.097604,899,-0.042,192,182,8,12,0.070588,172979,4,76,16,False
Jordan 11 Retro Low Rose Gold (W),165,9.5W,67,8,None,325,6W,120,500,111,188,322,0.26284,1952,0.457,198,255,8,0,0,387160,33,24,64,False
Air Max 1 White Black Wolf Grey,165,10,14,8,None,90,9.5,25,184,65,65,89,0.152789,53,-0.3,95,77,8,12,0.184615,5031,12,35,89,False
adidas Ultra Boost 4.0 Core Black True Green,165,12.5,49,8,None,180,7,38,297,131,150,200,0.141822,113,-0.028,183,175,8,35,0.25,20683,69,49,95,False
adidas Ultra Boost A Kind Of Guise,165,5.5,86,8,None,275,13,73,650,100,187,245,0.132579,886,0,227,216,8,30,0.16129,200981,60,99,77,False
Jordan 4 Retro Motorsports (2017),169,17,64,8,None,236,8,74,359,70,201,251,0.109847,1491,0.189,188,226,8,4,0.018018,280733,28,9,92,False
Jordan 1 Retro High OG Sail,170,13,44,8,None,221,8,114,313,85,184,256,0.163621,1380,0.375,159,220,8,45,0.257143,219254,50,58,75,False
Jordan 9 Retro Barons,175,8,57,8,None,195,10.5,60,325,120,203,247,0.09782,324,0.324,204,225,8,-5,-0.021739,65998,20,27,80,False
Jordan 12 Retro Bordeaux,180,11,100,8,None,200,13,90,299,100,179,191,0.033208,906,-0.026,176,185,8,-5,-0.026316,159173,38,6,97,False
Jordan 6 Retro White Concord Infrared 23,185,8,99,8,None,175,9,30,190,150,151,179,0.086453,8,-0.132,174,165,8,-7,-0.040698,1389,94,51,20,False
Air Max 270 Betrue (2018),190,9.5,52,8,None,240,5.5,76,450,145,135,165,0.100988,890,-0.063,240,150,8,-25,-0.143975,213177,10,60,49,False
Lunar Force 1 Low Acronym (AF100),191,12.5,53,8,None,365,9,77,746,150,213,337,0.224962,852,0.375,258,275,8,-81,-0.227528,220049,44,34,98,False
Air Foamposite Pro All-Star (2018),191,10.5,55,8,None,258,9,107,400,120,226,266,0.080657,1691,-0.016,198,246,8,-1,-0.004049,334172,83,27,95,False
LeBron 15 Cereal,205,9.5,58,8,None,246,13,58,369,140,199,231,0.07383,889,0.162,221,215,8,15,0.074151,196778,2,22,66,False
Air VaporMax Moc Multi-Color,206,11.5,30,8,None,240,13,44,329,125,182,258,0.170585,369,0.1,201,220,8,45,0.257143,74337,34,58,48,False
Jordan 4 Retro Oreo (2015),207,10,142,8,None,223,8.5,70,400,140,185,215,0.076905,965,0.053,209,200,8,-25,-0.111111,201480,23,65,7,False
Jordan 7 Retro Bordeaux (2015),228,11,115,8,None,231,9,85,325,156,180,220,0.100267,1028,0.053,224,200,8,-28,-0.122807,230181,62,40,76,False
Jordan 11 Retro Low Bred,245,12,119,8,None,340,8.5,80,471,190,277,333,0.092734,926,0.794,283,305,8,6,0.020067,261604,44,90,43,False
Air Force 1 Mid Supreme NBA White,245,12,123,8,None,403,6.5,72,999,161,277,423,0.208912,6161,1.121,270,350,8,-100,-0.222222,1662835,3,9,43,False
Nike Zoom VaporFly 4% Flyknit Bright Crimson,268,8,81,8,None,270,7.5,28,999,180,247,289,0.077287,565,0.072,303,268,8,1,0.003745,171300,6,39,66,False
adidas Yeezy Boost 350 V2 Core Black Copper,585,8.5,133,8,None,667,5.5,119,1435,500,541,605,0.056241,722,1.605,656,573,8,-47,-0.075806,473462,45,32,89,False
Nike Dunk Sky Hi Black Gum (W),58,8W,39,7,None,55,7W,2,100,55,51,65,0.112411,79,-0.517,74,58,7,0,0,5850,20,51,85,False
Nike Lunar Force 1 Duckboot Medium Olive,65,13,54,7,None,64,10,30,170,56,55,69,0.115906,121,-0.636,91,62,7,-13,-0.174001,10956,89,61,72,False
SF Air Force 1 High Force Is Female Vintage Wine (W),67,8W,32,7,None,57,8W,10,175,35,83,111,0.146784,92,-0.461,100,97,7,-3,-0.03,9193,83,29,34,False
SF Air Force 1 High Camo,72,10,44,7,None,75,12,23,165,60,78,96,0.099385,220,-0.516,97,87,7,8,0.088021,21255,78,34,44,False
SF Air Force 1 Mid Black Dark Hazel,73,9.5,19,7,None,100,14,34,250,50,66,84,0.125215,232,-0.559,83,75,7,0,0,19219,72,89,24,False
Air Max 270 Grey Volt Orange,74,10,46,7,None,75,10.5,31,200,60,51,69,0.152151,204,-0.6,95,60,7,-17,-0.230637,19296,17,35,78,False
Air Huarache Black Black White,75,13,115,7,None,75,12,35,150,50,84,106,0.113951,451,-0.136,87,95,7,20,0.266667,39212,68,94,9,False
Nike Lunar Force 1 Duckboot Black,80,8.5,44,7,None,100,8.5,35,180,40,87,125,0.180498,639,-0.376,85,106,7,-19,-0.152,54291,94,66,91,False
Nike NSW Gaiter Boot Black Anthracite,80,11,39,7,None,160,13,29,300,65,87,113,0.132185,134,-0.6,131,100,7,1,0.010101,17522,30,6,21,False
adidas EQT Support 93/17 Red Carpet Pack Black,85,10,59,7,None,110,6.5,23,160,46,101,119,0.078896,374,-0.421,108,110,7,23,0.252157,40242,69,0,90,False
Air Presto Triple White,89,11,25,7,None,100,11,27,135,50,70,110,0.217748,723,-0.25,85,90,7,13,0.168831,61815,41,63,81,False
adidas Ultra Boost Uncaged White Tint,89,12,13,7,None,83,11.5,20,175,50,66,110,0.252106,549,-0.511,97,88,7,8,0.1,53436,16,77,26,False
SF Air Force 1 High Black Dark Grey,90,9.5,10,7,None,90,10,14,210,46,40,73,0.295842,221,-0.717,110,57,7,-9,-0.142335,24277,39,21,12,False
Air Max 1 Anniversary Aqua,92,10,59,7,None,140,15,64,285,46,93,131,0.166219,989,-0.2,106,112,7,14,0.136364,104655,15,77,40,False
adidas Ultra Boost Mid Packer Shoes x Solebox Silfra Rift,100,9.5,67,7,None,115,10.5,19,369,66,81,119,0.188254,520,-0.583,147,100,7,1,0.010101,76342,82,19,78,False
Kyrie 4 Blackout,100,11.5,19,7,None,90,8.5,15,200,61,86,134,0.221606,107,-0.083,116,110,7,30,0.375,12391,82,55,94,False
adidas Ultra Boost 4.0 Parley Carbon Blue Spirit,101,8,37,7,None,110,12.5,30,225,70,90,116,0.129619,657,-0.428,129,103,7,-12,-0.104348,84642,25,41,98,False
adidas Ultra Boost 4.0 Grey Multi-Color,105,9,14,7,None,120,14,31,195,65,87,121,0.164464,212,-0.422,115,104,7,-5,-0.045872,24410,36,42,2,False
adidas NMD R1 STLT Parley Core Black,105,8,47,7,None,110,11.5,29,170,70,74,106,0.174566,204,-0.357,125,90,7,-35,-0.28,25551,23,18,35,False
adidas NMD R1 Gum Pack White,115,8.5,59,7,None,150,14,30,300,83,107,145,0.147931,373,-0.259,156,126,7,-23,-0.154362,58135,99,46,28,False
Jordan 1 Retro David Letterman,116,12,73,7,None,131,9,51,175,50,132,166,0.114459,544,-0.069,105,149,7,29,0.241667,57358,5,97,25,False
Air Force 1 Low Utility Olive Canvas,117,10,36,7,None,120,8.5,39,194,80,150,196,0.131691,312,0.729,124,173,7,33,0.235272,38650,21,14,30,False
Jordan 3 Retro Wool,119,8,52,7,None,150,13,46,250,60,134,186,0.16039,610,-0.2,119,160,7,1,0.006289,72451,89,99,25,False
Jordan 13 Retro Phantom (W),120,8.5W,43,7,None,148,5.5W,99,200,80,126,166,0.136986,334,-0.232,124,146,7,27,0.226891,41417,84,91,59,False
adidas Ultra Boost 4.0 Show Your Stripes Cloud White,125,7.5,33,7,None,137,10,45,230,80,117,153,0.136413,845,-0.25,131,135,7,-5,-0.035714,110865,30,94,32,False
Nike SB Gato Supreme White,125,10,90,7,None,151,11,70,300,92,149,185,0.108796,1698,0.518,151,167,7,5,0.029147,256079,57,16,87,False
Jordan 4 Retro Alternate 89,138,18,48,7,None,221,8.5,44,300,115,178,222,0.111495,768,0.053,200,200,7,-40,-0.166667,153830,46,8,83,False
Air VaporMax 2 Black White (W),139,5W,46,7,None,215,6.5W,43,285,100,130,218,0.251833,293,-0.084,186,174,7,0,0,54461,31,71,47,False
Nike Dunk SB Low De La Soul (2015),139,13,59,7,None,145,11,74,225,60,150,188,0.11424,421,0.252,112,169,7,24,0.165517,47081,97,99,35,False
adidas Ultra Boost Clima Core Black Solar Red,140,6,60,7,None,150,5.5,44,241,87,103,137,0.141982,1738,-0.455,149,120,7,-39,-0.247518,259141,7,26,95,False
Jordan 11 Retro Low Cool Grey (GS),145,7Y,32,7,None,165,5.5Y,39,225,60,174,226,0.127726,814,0.538,132,200,7,10,0.052632,107120,44,82,81,False
Jordan 1 Retro High OG Quai 54,148,13,43,7,None,350,8.5,53,450,90,69,205,0.493352,476,-0.144,186,137,7,-8,-0.055172,88401,64,79,35,False
Jordan 5 Retro Light Aqua (GS),149,7Y,21,7,None,182,5.5Y,92,300,100,158,202,0.124712,480,0.286,159,180,7,45,0.333333,76216,2,56,49,False
Air VaporMax 95 Slate,149,10,24,7,None,130,12,42,260,90,123,167,0.150422,323,-0.237,153,145,7,4,0.028369,49491,54,99,32,False
Air VaporMax 2 Crimson Pulse (W),150,12W,26,7,None,155,9W,41,300,150,140,190,0.149046,110,-0.132,219,165,7,-10,-0.057143,24083,67,63,94,False
Air VaporMax 2019 Club Gold Ember Glow,150,4.5,38,7,None,150,9,48,235,80,99,151,0.209799,132,-0.342,155,125,7,-42,-0.251497,20464,41,27,91,False
Jordan 1 Retro 30th Anniversary Laser,155,12,57,7,None,226,9.5,65,315,93,176,228,0.126817,515,0.092,186,202,7,-28,-0.121739,95586,6,98,19,False
Air Max 98 Cone,158,8,78,7,None,290,13,84,550,120,128,278,0.36712,2520,0.128,226,203,7,27,0.153409,568744,84,1,59,False
Jordan 5 Retro Red Suede,159,18,98,7,None,212,11.5,79,305,122,161,201,0.112738,1158,-0.047,188,181,7,-9,-0.047368,217703,28,95,35,False
adidas N3xt L3v3l Core Black Cloud White,160,9.5,54,7,None,161,11,19,378,120,134,164,0.099769,89,-0.173,198,149,7,29,0.240726,17615,71,61,100,False
adidas Ultra Boost 2019 Black Multi-Color,160,10,42,7,None,220,13,31,220,150,134,176,0.137689,23,-0.139,178,155,7,5,0.033333,4105,86,85,89,False
adidas Solar Hu Glide Black,161,8.5,48,7,None,165,10,55,495,106,193,227,0.080551,827,0.4,192,210,7,15,0.076923,158682,98,37,6,False
adidas Ultra Boost 2.0 Black Reflective,164,6,60,7,None,211,12,34,420,140,164,210,0.124033,261,-0.065,225,187,7,19,0.113095,58681,40,34,41,False
Jordan 9 Retro Boot Black Concord,164,10.5,54,7,None,225,12.5,64,282,100,160,178,0.053553,599,-0.249,182,169,7,19,0.126667,109079,38,76,79,False
Jordan 3 Retro Flyknit Black,170,8.5,146,7,None,215,15,82,555,150,178,222,0.108337,1450,0,233,200,7,-34,-0.145299,338455,65,12,50,False
Revenge X Storm Low Top Black Yellow,175,12,40,7,None,165,9,40,500,59,191,251,0.134916,671,0.105,189,221,7,77,0.524475,127101,65,14,17,False
Jordan XXXIII Blackout,178,12,65,7,None,180,14,38,300,128,154,196,0.117675,166,0,186,175,7,-2,-0.011299,30918,23,96,80,False
Jordan 4 Retro Pure Money 2017 (GS),179,6Y,19,7,None,209,5Y,68,250,60,152,182,0.091991,752,0.193,147,167,7,-1,-0.005952,110656,55,89,93,False
Jordan 1 Mid Light Bone Wolf Grey (GS),180,7Y,1,7,None,92,5Y,13,130,60,38,82,0.36094,8,-0.333,79,60,7,-16,-0.210526,632,66,34,34,False
Jordan 5 Retro Metallic White (2015),187,13,92,7,None,196,8,59,318,116,175,203,0.072325,541,-0.005,188,189,7,11,0.061798,101975,77,25,43,False
Jordan 3 Retro Powder Blue,189,10.5,93,7,None,197,12,61,289,115,188,220,0.080643,406,0.2,179,204,7,9,0.046154,72840,3,23,6,False
Jordan 8 Retro Aqua (2015),199,10.5,92,7,None,216,13,81,328,75,189,221,0.075836,1062,0.079,200,205,7,-24,-0.104803,212267,41,45,33,False
Jordan 5 Retro White Cement,200,11.5,41,7,None,252,8,68,300,100,216,252,0.075237,850,0.232,184,234,7,13,0.058824,156682,10,79,30,False
Jordan 13 Retro Black Cat,200,10.5,62,7,None,236,12,82,344,81,262,308,0.081956,845,0.5,224,285,7,25,0.096154,189108,25,15,96,False
Revenge X Storm Low Top Green,204,12,67,7,None,210,13,53,400,140,170,230,0.151564,873,0,206,200,7,50,0.333333,180009,79,78,69,False
Jordan 1 Retro Mid New Love (2017),210,11.5,68,7,None,386,8,113,589,150,221,321,0.183866,867,1.464,279,271,7,-59,-0.178788,241846,54,6,28,False
Air Foamposite One Navy Gum,215,9.5,26,7,None,191,9.5,12,250,170,175,225,0.123147,11,-0.13,205,200,7,-50,-0.2,2260,3,68,87,False
Yeezy Suede Desert Boot Season 6 Graphite,219,7,31,7,None,325,13,19,600,140,129,355,0.467736,349,-0.104,262,242,7,24,0.110092,91574,81,31,56,False
Jordan 12 Retro French Blue (2016),230,10,104,7,None,242,12.5,96,375,181,205,245,0.090294,1096,0.184,236,225,7,5,0.022727,259031,80,52,35,False
Jordan 9 Retro OG (2016),240,8,76,7,None,285,14,110,350,127,170,222,0.134856,902,0.032,240,196,7,-86,-0.304965,216499,55,6,38,False
Jordan 8 Retro OVO Black,241,7,113,7,None,230,13,92,800,170,258,310,0.090007,2042,0.262,276,284,7,44,0.183333,562716,61,14,26,False
Off-White Vulc Low White,250,41,28,7,None,276,44,28,550,200,247,297,0.090967,581,0.157,292,272,7,-23,-0.080445,169627,59,51,10,False
Jordan 4 Retro Thunder (2012),250,14,58,7,None,317,9,79,400,150,215,285,0.141812,441,0.563,274,250,7,10,0.041667,120710,65,55,61,False
Air VaporMax Plus Betrue (2018),250,10.5,68,7,None,371,13,81,500,185,215,305,0.172074,653,0.368,272,260,7,-116,-0.310119,177882,43,86,88,False
Air VaporMax Triple Black 3.0,250,7.5,45,7,None,285,8.5,85,400,140,275,325,0.081877,812,0.579,260,300,7,50,0.2,210811,79,67,84,False
Jordan 12 Retro Chinese New Year,259,9,99,7,None,285,12,96,495,190,238,278,0.075757,781,0.032,268,258,7,8,0.032,209474,17,39,29,False
Jordan 6 Retro Carmine (2014),265,13,128,7,None,297,9,92,475,170,132,208,0.220821,1023,0,275,170,7,-90,-0.346154,281321,70,14,63,False
Nike Zoom Fly Mercurial Off-White Black,304,7,118,7,None,343,13,101,990,236,248,338,0.152018,2482,0.465,356,293,7,-11,-0.036184,883483,29,22,24,False
adidas Yeezy Boost 350 V2 Core Black Green,540,7,153,7,None,630,5.5,99,1236,450,564,686,0.097365,628,1.841,629,625,7,25,0.041667,394789,77,83,52,False
Jordan 4 Retro Levi's Denim (Tag with Levi's Logo),549,10.5,74,7,None,650,15,134,1700,450,547,653,0.088079,1584,1.667,632,600,7,70,0.132075,1001013,53,63,60,False
Air Max 97 Off-White Elemental Rose Serena "Queen",759,13,120,7,None,985,5,132,1890,550,839,951,0.062475,931,3.711,906,895,7,-4,-0.004449,843376,33,26,88,False
Air Force 1 Low Off-White,900,13,78,7,None,1464,9,172,2200,456,1234,1586,0.125032,977,7.294,930,1410,7,212,0.176854,908849,18,78,12,False
Jordan 1 Retro High SoleFly Art Basel Sail,1650,8,160,7,None,2058,8,141,3500,1150,1408,1992,0.171657,125,9.625,1948,1700,7,300,0.214286,243546,64,79,58,False
Vans Old Skool Marvel What The Avengers,53,11,55,6,None,85,14,14,175,25,45,75,0.251484,219,-0.143,64,60,6,25,0.714286,14111,13,32,27,False
Jordan 11 Retro Concord 2018 (TD),60,9,72,6,None,67,4,17,157,55,66,80,0.100638,293,0.043,82,73,6,3,0.042857,24144,63,81,52,False
Jordan 11 Retro Low Cleat Concord,65,8,30,6,None,90,9.5,19,220,25,41,89,0.370801,167,-0.458,114,65,6,-15,-0.1875,19047,7,100,7,False
Nike Blazer Royal Triple White,69,10,42,6,None,60,13,14,120,57,64,78,0.094817,57,-0.354,80,71,6,12,0.18509,4586,49,33,28,False
Air Huarache Triple Red,70,10.5,51,6,None,120,7,41,185,55,73,101,0.157912,354,-0.209,100,87,6,-13,-0.13,35361,66,2,60,False
Kyrie 4 Year of the Monkey,70,11,30,6,None,100,7.5,38,300,30,66,94,0.175616,207,-0.36,95,80,6,0,0,19656,86,80,17,False
adidas EQT Support 93/17 Core Black,70,11,54,6,None,80,12,20,165,40,80,100,0.10777,122,-0.5,90,90,6,5,0.058824,10923,9,38,93,False
Vans Old Skool Crazy Checks Multi,79,11,26,6,None,80,7,15,285,50,68,116,0.263265,146,0.222,104,92,6,2,0.018031,15159,81,72,10,False
adidas NMD R1 Duck Camo Core Black,80,12,34,6,None,113,5,30,159,56,42,70,0.251532,749,-0.569,85,56,6,-6,-0.096774,63928,97,37,73,False
Jordan 10 Retro Orlando (GS),80,6.5Y,77,6,None,76,4.5Y,25,125,40,74,82,0.050599,163,-0.443,90,78,6,-1,-0.012658,14620,53,5,65,False
LeBron 15 Low Ashes,80,8,28,6,None,105,11.5,54,199,70,86,94,0.049716,312,-0.4,115,90,6,-5,-0.052632,35769,25,72,40,False
adidas I-5923 Black Boost,80,9.5,30,6,None,90,8.5,27,200,50,62,88,0.173637,628,-0.423,92,75,6,5,0.071429,57961,8,66,69,False
Air Max 1 Black Gum,85,8.5,23,6,None,99,12,22,168,70,77,103,0.144202,62,-0.182,97,90,6,-8,-0.081633,5989,59,52,50,False
adidas NMD R1 Marble Aero Green,87,11.5,79,6,None,81,9,26,290,50,26,138,0.677103,510,-0.518,115,82,6,-5,-0.057471,58437,9,35,92,False
Nike Hyperdunk 08 United We Rise (2016),89,11,29,6,None,100,11,19,200,50,75,104,0.160183,110,-0.442,90,89,6,8,0.097086,9846,100,68,79,False
Vans Old Skool Disney Mickey Mouse Hand,89,3.5,20,6,None,135,11,31,220,60,100,150,0.19854,149,0.786,109,125,6,5,0.041667,16219,0,22,55,False
adidas Ultra Boost Clima Parley White Blue,89,7.5,54,6,None,113,14,26,225,60,107,133,0.10891,726,-0.4,120,120,6,21,0.212121,86829,17,36,87,False
