brand,colorway,gender,name,title,releaseDate,retailPrice,belowRetail,shoe,missingData
Jordan,Black/University Blue,men,UNC,Jordan 6 Retro UNC,2017-12-02 23:59:59,190,False,Jordan 6 Retro,False
Jordan,Blue Lagoon/Blue Lagoon,men,Gatorade Blue Lagoon,Jordan 1 Retro High Gatorade Blue Lagoon,2017-12-26 23:59:59,175,True,Jordan 1 Retro High,False
Jordan,Black/Altitude Green,men,Altitude (2017),Jordan 13 Retro Altitude (2017),2017-12-21 23:59:59,190,True,Jordan 13 Retro,False
Jordan,Black/Black-Electric Green-Infrared 23,men,Quai54 (2018),Jordan 3 Retro Quai54 (2018),2018-07-07 23:59:59,180,False,Jordan 3 Retro,False
Nike,Anthracite/Black-White,men,Anthracite Black,Nike React Element 87 Anthracite Black,2018-06-14 23:59:59,160,False,Nike React Element 87,False
Jordan,Black/Black-Metallic Gold,men,Gold Top 3,Jordan 1 Retro High Gold Top 3,2017-11-04 23:59:59,160,False,Jordan 1 Retro High,False
Nike,Sail/Light Bone-White-Rush Orange,men,Sail Light Bone,Nike React Element 87 Sail Light Bone,2018-07-13 23:59:59,160,False,Nike React Element 87,False
adidas,Light Brown/Light Brown/Gum,men,Light Brown Gum (Chocolate),adidas Yeezy Boost 750 Light Brown Gum (Chocolate),2016-10-15 23:59:59,350,False,adidas Yeezy Boost 750,False
Nike,White/White-Muslin,men,Off-White,Nike Zoom Fly Off-White,2017-11-01 23:59:59,170,False,Nike Zoom Fly,False
Nike,Sail/White-Muslin,men,Off-White,Air Max 90 Off-White,2017-09-09 23:59:59,160,False,Air Max 90,False
Nike,Black/White-Clear,men,Off-White,Air VaporMax Off-White,2017-09-09 23:59:59,250,False,Air VaporMax,False
adidas,Grey/Grey/Grey,men,Calabasas Grey,adidas Yeezy Powerphase Calabasas Grey,2017-12-09 23:59:59,120,True,adidas Yeezy Powerphase,False
Nike,Black/Black-Muslin,men,Off-White,Air Presto Off-White,2017-09-09 23:59:59,160,False,Air Presto,False
Nike,White/White,men,Roc-A-Fella (AF100),Air Force 1 Low Roc-A-Fella (AF100),2017-11-30 23:59:59,150,True,Air Force 1 Low,False
Jordan,Summit White/Team Orange-Black,men,Gatorade Like Mike White,Jordan 6 Retro Gatorade Like Mike White,2017-12-16 23:59:59,190,True,Jordan 6 Retro,False
Nike,Varsity Red/Metallic Gold-White-Black,men,Cristiano Ronaldo Portugal Patchwork,Air Max 97 Cristiano Ronaldo Portugal Patchwork,2018-04-24 23:59:59,170,False,Air Max 97,False
Jordan,Summit White/Track Red-Black,men,Track Red,Jordan 1 Retro High Track Red,2018-05-01 23:59:59,160,False,Jordan 1 Retro High,False
Jordan,Black/Fire Red-Cement Grey,men,Black Cement (2012),Jordan 4 Retro Black Cement (2012),2012-11-01 23:59:59,160,False,Jordan 4 Retro,False
adidas,Light Grey/Light Grey/Gum,men,Light Grey Glow In the Dark,adidas Yeezy Boost 750 Light Grey Glow In the Dark,2016-06-11 23:59:59,350,False,adidas Yeezy Boost 750,False
Jordan,Cool Grey/White,men,Kaws,Jordan 4 Retro Kaws,2017-03-31 23:59:59,350,False,Jordan 4 Retro,False
adidas,Core Black/Core Black/Grey,men,Kith x Nonnative,adidas Ultra Boost Mid Kith x Nonnative,2017-11-24 23:59:59,240,True,adidas Ultra Boost Mid,False
Jordan,Pine Green/Orange Blaze-Pine Green,men,Gatorade Green,Jordan 6 Retro Gatorade Green,2017-12-30 23:59:59,225,False,Jordan 6 Retro,False
Nike,Pony/Sport Red-Black-Classic Green,men,Atmos Animal Pack 2.0 (2018 All Black Box),Air Max 95 Atmos Animal Pack 2.0 (2018 All Black Box),2018-03-17 23:59:59,200,False,Air Max 95,False
Nike,Multi-Color/Black-Vivid Sulfur,men,Skepta,Air Max 97 Ultra 17 Skepta,2017-09-02 23:59:59,180,False,Air Max 97 Ultra 17,False
Jordan,Dark Grey/Dark Grey-Black,men,PSNY,Jordan 12 Retro PSNY,2015-12-17 23:59:59,300,True,Jordan 12 Retro,False
Nike,Multi-Color/Multi-Color,men,Confetti,Kyrie 4 Confetti,2017-12-16 23:59:59,120,False,Kyrie 4,False
Jordan,White/Fire Red-Cement Grey-Black,men,White Cement ('88 Dunk Contest 2013),Jordan 3 Retro White Cement ('88 Dunk Contest 2013),2013-02-06 23:59:59,200,False,Jordan 3 Retro,False
Jordan,Black/University Red-White,men,Homage To Home Chicago (Numbered),Jordan 1 Retro High Homage To Home Chicago (Numbered),2018-04-21 23:59:59,160,False,Jordan 1 Retro High,False
Nike,Nightshade/Dark Slate,men,Blue Lobster,Nike Dunk SB Low Blue Lobster,2009-06-20 23:59:59,92,False,Nike Dunk SB Low,False
Jordan,White/Metallic Gold-White,men,OVO White,Jordan 12 Retro OVO White,2016-10-01 23:59:59,225,False,Jordan 12 Retro,False
adidas,Agate Gray/Moonrock-Agate Gray,men,Moonrock,adidas Yeezy Boost 350 Moonrock,2015-11-14 23:59:59,200,False,adidas Yeezy Boost 350,False
